,Unnamed: 0,Nom_Festival,Region,Departement,Commune,Code_INSEE,Site_Internet,Annee_Creation,Discipline_Principale,Sous_Catégorie,Periode,longitude,latitude,Categorie_Periode,Adresse_Postale
0,0,Gamerz,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Aix-en-Provence,13001,http://www.lab-gamerz.com/site/,2006,"Arts visuels, arts numériques",Arts numériques,Après-saison (6 septembre - 31 décembre),5.39857444582,43.5360708378,Après-saison,"Route de Berre, Aix-en-Provence, Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13547"
1,1,Corsiclassic - festival de musique de chambre,Corse,Corse-du-Sud,Ajaccio,2A004,helloasso.com/associations/corsiclassic,2016,Musique,Musique classique,Après-saison (6 septembre - 31 décembre),8.70132275974,41.9347926638,Après-saison,"D 11A, Ajaccio, Ajaccio, Corse-du-Sud, Corse, France métropolitaine, 20000"
2,2,Racines de ciel,Corse,Corse-du-Sud,Ajaccio,2A004,https://www.facebook.com/RacinesDeCielAjaccio/,2009,"Livre, littérature","Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, polar, science-fiction",Avant-saison (1er janvier - 20 juin),8.70132275974,41.9347926638,Avant-saison,"D 11A, Ajaccio, Ajaccio, Corse-du-Sud, Corse, France métropolitaine, 20000"
3,3,Le grand bivouac,Auvergne-Rhône-Alpes,Savoie,Albertville,73011,https://www.grandbivouac.com/fr,2002,"Cinéma, audiovisuel",Films documentaires courts et moyens métrages,Après-saison (6 septembre - 31 décembre),6.40460338643,45.6683987277,Après-saison,"Route de Tours, Albertville, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73200"
4,4,Festival Acthea,Occitanie,Tarn,Albi,81004,https://www.mines-albi.fr/acthea-17e-edition-du-festival-europeen-de-theatre-etudiant,2000,Spectacle vivant,Théâtre,Avant-saison (1er janvier - 20 juin),2.14686328555,43.9258213622,Avant-saison,"Rue du Mail, Albi, Tarn, Occitanie, France métropolitaine, 81000"
5,5,Illustr'action,Auvergne-Rhône-Alpes,Ardèche,Alboussière,07007,https://www.letrouillet.com/event/festival-illustraction/,2014,"Arts visuels, arts numériques",Inconnu,Après-saison (6 septembre - 31 décembre),4.73413213329,44.9397584607,Après-saison,"Chemin du Camping, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07440"
6,6,Septembre musical de l'Orne,Normandie,Orne,Alençon,61001,www.septembre-musical.com,1983,Musique,"Musique classique Musique classique, lyrique, contemporaine, autres",Saison (21 juin - 5 septembre),0.0915406916107,48.4318193082,Saison,"Rue Saint-Blaise, Alençon, Orne, Normandie, France métropolitaine, 61000"
7,7,Les Atypiques,Occitanie,Gard,Alès,30007,https://atpales.fr/,1998,Spectacle vivant,Théâtre,Après-saison (6 septembre - 31 décembre),4.08828501262,44.1250099126,Après-saison,"Rue Guynemer, Chantilly, Alès, Gard, Occitanie, France métropolitaine, 30100"
8,8,Algrange Music Live,Grand Est,Moselle,Algrange,57012,,2000,Musique,Musiques actuelles sans distinction,Avant-saison (1er janvier - 20 juin),6.04829438392,49.3644069158,Avant-saison,"Rue des Alliés, Thionville, Moselle, Grand Est, France métropolitaine, 57440"
9,9,Brass Band,Centre-Val de Loire,Indre-et-Loire,Amboise,37003,https://openamboise.com/,1996,Musique,Inconnu,Avant-saison (1er janvier - 20 juin),1.00023994675,47.3917237652,Avant-saison,"Boulevard Saint-Denis Hors, Loches, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37400"
10,10,Blues Berry,Centre-Val de Loire,Indre,Ambrault,36003,http://associationbluesberry.weebly.com/,2014,Musique,"Jazz, Blues",Saison (21 juin - 5 septembre),1.94971417939,46.7837338524,Saison,"Rue du Breuil, Issoudun, Indre, Centre-Val de Loire, France métropolitaine, 36120"
11,11,Festival international du film d'Amiens,Hauts-de-France,Somme,Amiens,80021,https://www.fifam.fr/,1980,"Cinéma, audiovisuel","Court métrage, Documentaire, Fiction long métrage, Film d'animation",Après-saison (6 septembre - 31 décembre),2.29007445539,49.9009532186,Après-saison,"Rue de l'Orée du Bois, Amiens, Amiens, Somme, Hauts-de-France, France métropolitaine, 80000"
