Nom_Festival,Region,Departement,Commune,Code_INSEE,Annee_Creation,Discipline_Principale,Sous_Categorie,Periode,Latitude,Longitude,Categorie_Periode,Site_Internet,Adresse_Postale
Les Nuits (Re)Belles,Bourgogne-Franche-Comté,Jura,Brainans,39073,2014,Musique,Musiques actuelles sans distinction,21 Juin - 5 Septembre,46.8746666632,5.6278782462,Saison,http://www.moulindebrainans.com/wp-content/uploads/2017/06/Depliant_LesNuitsReBelles4.pdf,"Rue des Rosiers, Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39800"
Y'a pas l'feu,Hauts-de-France,Pas-de-Calais,Cambrin,62200,2014,Musique,"Rock, Métal Musiques amplifiées ou électroniques",1er Janvier - 20 Juin,50.5116047377,2.73659179875,Avant-saison,www.festival-yapaslfeu.com,"Résidence du Hêtre, Béthune, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62149"
Festival du jeune art russe,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Cannes,6004,2019,Musique,Musique traditionnelle,21 Juin - 5 Septembre,43.587465146,7.10635418256,Saison,www.palaisdesfestivals.com,"Chemin de Rabiac-Estagnol, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06200"
Festival de musique de Cordes-sur-Ciel,Occitanie,Tarn,Cordes-sur-Ciel,81069,1971,Musique,"Musique classique Musique classique, lyrique, contemporaine, autres",21 Juin - 5 Septembre,44.0681683828,1.95360871103,Saison,https://www.festivalcordessurciel.com/,"D 8, Albi, Tarn, Occitanie, France métropolitaine, 81170"
Les rencontres de la cinémathèque montagne,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Gap,5061,2009,"Cinéma, audiovisuel",Inconnu,6 Septembre - 31 Décembre,44.5798600596,6.06486052138,Saison,www.cimalpes.fr,"Gap, Hautes-Alpes, Provence-Alpes-Côte d'Azur, France métropolitaine, 05000"
Jazz À La Sout,Nouvelle-Aquitaine,Creuse,Guéret,23096,1998,Musique,"Musiques actuelles Jazz, blues et musiques improvisées",6 Septembre - 31 Décembre,46.1632121428,1.87078672735,Saison,www.jazzalasout.com,"Allée des Eglantiers, Guéret, Creuse, Nouvelle-Aquitaine, France métropolitaine, 23000"
Le Chat Musiques,Bourgogne-Franche-Comté,Nièvre,La Charité-sur-Loire,58059,1993,Musique,Inconnu,21 Juin - 5 Septembre,47.1835862006,3.02885515594,Saison,,"Rue de la Mitaine, Cosne-Cours-sur-Loire, Nièvre, Bourgogne-Franche-Comté, France métropolitaine, 58400"
Bouge ton Cube,Bretagne,Morbihan,Lauzach,56109,2011,Musique,"Pop, rock Musiques amplifiées ou électroniques",1er Janvier - 20 Juin,47.6111902718,-2.55589461102,Avant-saison,Facebook lafarique56,"C 1, Vannes, Morbihan, Bretagne, France métropolitaine, 56190"
Woodstower,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69123,,Musique,"Hip-hop, rap, slam, Musiques du monde, Musiques électroniques, techno, Pop, rock, RnB Musiques actuelles sans distinction",21 Juin - 5 Septembre,45.759723,4.842223,Saison,www.woodstower.com,"Rue Servient, Lyon, Lyon, Métropole de Lyon, Auvergne-Rhône-Alpes, France métropolitaine, 69003"
Festival du livre de Marseille,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13055,2018,"Livre, littérature",Pas de sous catégorie,6 Septembre - 31 Décembre,43.296346,5.369889,Saison,festivaldulivredemarseille.com,"Place Villeneuve - Bargemon, Hôtel de Ville, Marseille, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13002"
Le Festival de Paris,Île-de-France,Paris,Paris,75056,,Musique,"Musiques classiques Musique classique, lyrique, contemporaine, autres",1er Janvier - 20 Juin,48.8626304852,2.33629344655,Avant-saison,http://lefestival.paris/,"Place du Palais Royal, Paris, Île-de-France, France métropolitaine, 75001"
Némo - Biennale Internationale des Arts Numériques,Île-de-France,Paris,Paris,75056,2015,"Arts visuels, arts numériques","Arts numériques, Installation, Performance",6 Septembre - 31 Décembre,48.886868623,2.38469432787,Saison,https://www.biennalenemo.fr/,"Rue de l'Ourcq, Paris, Île-de-France, France métropolitaine, 75019"
Transat en ville,Bretagne,Ille-et-Vilaine,Rennes,35238,2003,Musique,"Chanson ou variété française, Musiques du monde, Musiques traditionnelles, Musiques électroniques, techno, Hip-hop, rap, slam, Jazz, blues, spectacle pour enfants Pluridisciplinaire",21 Juin - 5 Septembre,48.1119791219,-1.68186449144,Saison,transatenville.fr,"Place Saint-Sauveur, Les Lices, Rennes, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35000"
